,Actual_outcome,prob_0,prob_1
0,0,0.66,0.34
1,0,0.57,0.43
2,0,0.63,0.37
3,0,0.62,0.38
4,0,0.67,0.33
5,0,0.68,0.32
6,0,0.58,0.42
7,1,0.46,0.54
8,0,0.7,0.3
9,0,0.64,0.36
10,0,0.62,0.38
11,0,0.73,0.27
12,0,0.63,0.37
13,0,0.63,0.37
14,0,0.79,0.21
15,0,0.64,0.36
16,0,0.66,0.34
17,0,0.66,0.34
18,0,0.74,0.26
19,0,0.57,0.43
20,0,0.52,0.48
21,0,0.77,0.23
22,0,0.68,0.32
23,0,0.68,0.32
24,0,0.53,0.47
25,0,0.63,0.37
26,1,0.49,0.51
27,0,0.54,0.46
28,0,0.68,0.32
29,0,0.64,0.36
30,0,0.69,0.31
31,1,0.28,0.72
32,0,0.71,0.29
33,0,0.73,0.27
34,1,0.44,0.56
35,0,0.63,0.37
36,0,0.59,0.41
37,0,0.55,0.45
38,0,0.57,0.43
39,0,0.62,0.38
40,0,0.54,0.46
41,0,0.69,0.31
42,0,0.7,0.3
43,0,0.53,0.47
44,0,0.77,0.23
45,0,0.64,0.36
46,0,0.55,0.45
47,0,0.66,0.34
48,0,0.75,0.25
49,0,0.85,0.15
50,0,0.54,0.46
51,0,0.83,0.17
52,0,0.5,0.5
53,0,0.58,0.42
54,0,0.58,0.42
55,0,0.65,0.35
56,0,0.5,0.5
57,0,0.75,0.25
58,0,0.77,0.23
59,1,0.39,0.61
60,1,0.39,0.61
61,0,0.75,0.25
62,0,0.69,0.31
63,0,0.72,0.28
64,0,0.59,0.41
65,0,0.56,0.44
66,0,0.52,0.48
67,0,0.71,0.29
68,0,0.51,0.49
69,0,0.61,0.39
70,0,0.66,0.34
71,0,0.54,0.46
72,0,0.55,0.45
73,0,0.63,0.37
74,0,0.61,0.39
75,0,0.64,0.36
76,0,0.73,0.27
77,0,0.51,0.49
78,1,0.3,0.7
79,1,0.4,0.6
80,1,0.49,0.51
81,0,0.71,0.29
82,0,0.55,0.45
83,0,0.69,0.31
84,1,0.3,0.7
85,1,0.44,0.56
